Business Center,Venue,Venue Category,Venue Id,Venue Latitude,Venue Likes,Venue Longitude,Venue Ratings
Grenoble Europole,coffee machine,Coffee ,52d6ad7611d2f8a74c2796bc,45.191196999999995,,5.717148,
Grenoble Europole,LETREIZH Comptoir breton crêperie,French ,52f951a411d2b533175f64f3,45.18669501788235,,5.7207441329956055,
Grenoble Europole,Creperie de Gordes,Creperie,4bae5941f964a52028a63be3,45.19224287227459,,5.727457735704559,
Grenoble Europole,Saveurs Et Delices,Deli / Bodega,5d4199f73e7a2e00070afa1c,45.18623,,5.7059492999999994,
Grenoble Europole,L'epicerie Au Comptoir,Deli / Bodega,4f3e0d59e4b038a0549d0c1a,45.18474792528264,,5.721385665919191,
Grenoble Europole,Norbert Meunier Chocolatier,Dessert ,51b325d8498e34b697ed9513,45.19009302983993,,5.714973993236551,
Grenoble Europole,La Fournée,Bakery,4f8849a0e4b039b1440447d3,45.18862429161135,,5.712611072216134,
Grenoble Europole,Le Chardon Doré,Cupcake ,4e32ad58fa76d813b3de6c9f,45.191512716883366,,5.727286891441555,
Grenoble Europole,Leonidas,Cupcake ,4f4ba450e4b0156c3213f457,45.189956,,5.7248,
Grenoble Europole,Pâtisserie Étienne Culot,Dessert ,4de8809bb0fbcb7c9ac514f9,45.185519120479796,,5.72240739265274,
Grenoble Europole,Magic Candy Bar,Candy Store,55422b82498e8c80b2363d07,45.1886791261233,,5.719305135454445,
Grenoble Europole,L'arche Aux Fruits,Ice Cream ,4dbd7a9c93a08f9274d5f3e5,45.19216470494115,,5.7278199315318,
Grenoble Europole,Patisserie Des Lys,Cupcake ,4e1c6c0152b1c2b69f34b058,45.188210999999995,,5.717589,
Grenoble Europole,The Cake Shop,Bakery,4b9fe331f964a520b74737e3,45.18824587584311,,5.721746376337532,
Grenoble Europole,Haagen-Dazs,Ice Cream ,4baf448ef964a52083f43be3,45.19109113444244,,5.727306294944924,
Grenoble Europole,Grand Comptoir,,52de225a11d2f7f7b3f22045,45.19115085019953,,5.714732341875724,
Grenoble Europole,Le Comptoir,,4f4f6562e4b04078850708ab,45.184979999999996,,5.70584,
Grenoble Europole,Quai D'Orsay,,4e86db7477c8aec59fde691d,45.185462,,5.720495,
Grenoble Europole,Grain De Soleil,,4d7b66c4136bf04dc50f4b8d,45.18884959016643,,5.726978334012336,
Grenoble Europole,Cose Sia,,4f2c44a6e4b0de35536e9354,45.19221091342786,,5.724430645459343,
Grenoble Europole,L'ynsolence,,4e0c6822c65bd1c17b6d6c63,45.189766,,5.71811,
Grenoble Europole,Cumin & Chantilly,,538c6e45498e34b97adad3a9,45.19276282802969,,5.7247669397092995,
Grenoble Europole,L'endroit,,51388404e4b0cdf573f1d470,45.186134,,5.722936,
Grenoble Europole,L'oxalis,,507ff3c3e4b07d456cfdac8b,45.18931,,5.714561,
Grenoble Europole,Le Balthazar,,4f952db5e4b01143d352c3a2,45.191205723827935,,5.72197291585596,
Grenoble Europole,La Table des Bergers,,508a6ce4e4b0c2bf3e9e0850,45.186455,,5.72136,
Grenoble Europole,Beso Café,,50373e84e4b0df99d53330a5,45.18501132329946,,5.705686015742129,
Grenoble Europole,Le Café Des Zébulons,,4fa50cbfe4b0ddd495d3eaff,45.18248,,5.721868,
Grenoble Europole,Fresh'art Café Restaurant,,504f15f0e4b0d661629c1645,45.184833461457615,,5.705874142417097,
Grenoble Europole,Crous,Dumpling ,4f4cbabce4b051dc47931dc4,45.19025494214029,,5.708342360327697,
Grenoble Europole,Калинка,Dumpling ,516daeefe4b0467e8a5dcbcb,45.18515678834621,,5.721073706308294,
Grenoble Europole,La Tchoutchoura,Eastern European ,4dde2132636562354f43c551,45.18922087501818,,5.718524500195288,
Grenoble Europole,Kalinka,Eastern European ,4ee27421f9ab478e59795af3,45.18559117574733,,5.722762491269871,
Grenoble Europole,Royale Restaraunt,Eastern European ,4fa024d9e4b0fc3ce4171f51,45.1943861623672,,5.72715483466913,
Grenoble Europole,Tsarevets,Eastern European ,4f3ad34fe4b0ccd5ed592097,45.184809684216994,,5.7223908858380845,
Grenoble Europole,Le Phénicien,Falafel ,4b7eef5df964a5208b0a30e3,45.18823112775874,,5.716988216598697,
Grenoble Europole,Le palais,Falafel ,4b798656f964a520d1fe2ee3,45.189324,,5.724343,
Grenoble Europole,barbecue damas,Falafel ,572998ef498efb88db8623d9,45.188137,,5.717313,
Grenoble Europole,McDonald's,Fast Food ,4bc5a2cd41cb76b04e8f3e6f,45.19079972508667,,5.714793983850933,
Grenoble Europole,Subway,Sandwich ,58d01a15c9602779d189a380,45.1914107501089,,5.714547115667642,
Grenoble Europole,McDonald's,Fast Food ,4bc86ff014d79521fd0469e9,45.183065675930756,,5.7175632402485075,
Grenoble Europole,Franprix,Supermarket,4eb81615e5fa17fc87e2762b,45.18588,,5.7138800000000005,
Grenoble Europole,Subway,Sandwich ,4c90ceb97088a143065dab43,45.18368210277068,,5.723131495700841,
Grenoble Europole,Franprix,Supermarket,4ca49e377f84224b13cbce58,45.1887,,5.72246,
Grenoble Europole,Maxi Tacos,Fast Food ,5cadce18a42362002c01cb13,45.18326,,5.717069599999999,
Grenoble Europole,La Fantasia,Fast Food ,4ffdbd7ee4b0072241b6405c,45.19108793277036,,5.726532645667916,
Grenoble Europole,Hangover Fresh Poutine,Fast Food ,5cbb6d65a5a315002dee98e1,45.187527,,5.7233047,
Grenoble Europole,Fire Wok,Noodle House,4ed7679f4690bd08d8a81906,45.191213317558706,,5.721635376964163,
Grenoble Europole,McDonald's,Fast Food ,4b86dee8f964a520faa231e3,45.19017594036677,,5.72617208161479,
Grenoble Europole,Franprix,Supermarket,50058d4be4b068f792ec6905,45.189040000000006,,5.72635,
Grenoble Europole,Picual Minatec,Fast Food ,4c457b03dd1f2d7f653a81f9,45.19531846046448,,5.710873603820801,
Grenoble Europole,Anotalia,Fast Food ,5274d59011d2e7faab7d580d,45.189569565071615,,5.716818459903027,
Grenoble Europole,Délice Berriat,Fast Food ,503f44dbe4b04a42bd81929e,45.18970079511917,,5.707855770256157,
Grenoble Europole,syphax,Fast Food ,54141247498e36563a1b0616,45.191018,,5.719745,
Grenoble Europole,Recto Verso,Fast Food ,537dd05b498e02df0778651a,45.188309000000004,,5.7169099999999995,
Grenoble Europole,California Bagel,Bagel ,526111a7498e183063ef097c,45.19067931703264,,5.726668125135312,
Grenoble Europole,Wok & Wok,Italian ,4c4d61dfd667d13a733dbd9e,45.18923568315621,,5.720593929290772,
Grenoble Europole,Speed Burger,Fast Food ,507866d0011c832d90ad2b38,45.1805924210538,,5.717107057571411,
Grenoble Europole,La ferme à Dédé Il,French ,5574b76d498e9d09b4b1e381,45.1898962318989,,5.716622406858772,
Grenoble Europole,Charcuterie Delas,Food Court,4e771c4d45ddd4324075ef63,45.18845285815771,,5.713279848223307,
Grenoble Europole,Salle hors-sac,Food Court,4f1ab295e4b0c74ef10c473f,45.19755,,5.71155,
Grenoble Europole,Brasserie du Palais,French ,4cef9ba062ef6dcbb72eff59,45.19052393061658,,5.71280378644316,
Grenoble Europole,Bistrot D'Emile,French ,4e01ca26b61c90045005f067,45.19081131235127,,5.711596175104956,
Grenoble Europole,Le Gratin Dauphinois,French ,5aea0a7cacc5f5002c2f5f3f,45.190585999999996,,5.7164839999999995,
Grenoble Europole,LETREIZH Comptoir breton crêperie,French ,52f951a411d2b533175f64f3,45.18669501788235,,5.7207441329956055,
Grenoble Europole,L'Ardoise,French ,4b7c55e0f964a5200f8d2fe3,45.190558067008546,,5.725345802718607,
Grenoble Europole,La ferme à Dédé Il,French ,5574b76d498e9d09b4b1e381,45.1898962318989,,5.716622406858772,
Grenoble Europole,Brasserie Solstice,Brasserie,5af48c1be65d0c002cd6aee4,45.182811,,5.7178580000000006,
Grenoble Europole,Le boeuf au Comptoir,French ,4b9e2617f964a520b0cd36e3,45.191182635517976,,5.7214165632823715,
Grenoble Europole,Les Mouettes,French ,4eb46e21f790d87d024be6fc,45.192396233448314,,5.71864128112793,
Grenoble Europole,Le Saint-vincent,French ,52568721498e7c527e9ca8ad,45.19378151009205,,5.725664749014642,
Grenoble Europole,La Voisine,French ,4df88e36b61ce821ebabbf70,45.187733,,5.722996,
Grenoble Europole,Sesame Boulangerie,French ,4b7e59b4f964a52043ea2fe3,45.187956,,5.718966,
Grenoble Europole,La Baratte,French ,4eb5225629c212fb6c4134c0,45.18554550986529,,5.722482731367263,
Grenoble Europole,Le Beguin,French ,5b28e6e323a2e600395f1954,45.191252,,5.725289,
Grenoble Europole,L'Envie des Mets,French ,4f9302b5e4b0a20c261a1798,45.18659820576664,,5.723022690599402,
Grenoble Europole,Le Saint Christophe,French ,4b9a2656f964a52071a135e3,45.187275955973185,,5.711080904724071,
Grenoble Europole,Le Bistrot Parisien,French ,504839f3e4b0756f6700d548,45.18969432507186,,5.71856316667942,
